name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Baku,Azerbaijan",2023-03-20,17.5,7.8,12,17.5,6.6,11.7,7.4,76,0,0,0,,0,0,13.3,18.4,42.8,1012.9,41.6,8.9,196.6,17,8,10,2023-03-20T06:44:46,2023-03-20T18:52:07,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-03-21,14,7.7,10.7,14,5.6,10.2,7.6,81.8,0,0,0,,0,0,50.4,29.5,324,1012.3,62.4,8.7,231.7,20,8,10,2023-03-21T06:43:07,2023-03-21T18:53:10,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-03-22,15.6,8.9,11.4,15.6,5.3,10.3,4.4,63.9,0,0,0,,0,0,59.4,40.7,328.4,1014.5,92.9,10,212.1,18.5,8,10,2023-03-22T06:41:29,2023-03-22T18:54:13,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"37864099999,UBBB"
"Baku,Azerbaijan",2023-03-23,22,6,12.3,22,2.9,11.4,5,67.4,0,0,0,,0,0,30.2,25.9,191.5,1016.2,51.3,10,245.9,21.3,8,10,2023-03-23T06:39:50,2023-03-23T18:55:16,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-03-24,17,9,12.3,17,5.9,11.6,7.4,75.4,0,0,0,,0,0,35.6,29.5,158.6,1015.3,64.3,8.5,221.8,19,7,10,2023-03-24T06:38:12,2023-03-24T18:56:19,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-03-25,19,7.9,12.8,19,7.9,12.6,6.4,67.6,0,0,0,,0,0,18.4,22.3,346.8,1016,74.2,8.9,228.1,19.7,8,10,2023-03-25T06:36:33,2023-03-25T18:57:21,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-03-26,19,9,13.2,19,6.7,12.6,8.5,76.1,0,0,0,,0,0,46.1,37.1,154.7,1010.6,79,6.9,250.1,21.4,8,10,2023-03-26T06:34:55,2023-03-26T18:58:24,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-03-27,19,10.5,13.7,19,10.5,13.7,7.4,66.8,0,0,0,rain,0,0,41.8,22.3,331,1007.4,69.4,10,179.8,15.4,6,10,2023-03-27T06:33:16,2023-03-27T18:59:26,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-03-28,20,12,14.9,20,12,14.9,8.7,67.7,0,0,0,rain,0,0,66.6,44.7,321,1010.5,50.7,10,204.5,17.6,8,10,2023-03-28T06:31:38,2023-03-28T19:00:28,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-03-29,22,11,15.3,22,11,15.3,10.9,76.9,0,0,0,,0,0,66.6,40.7,170.8,1004,23.9,10,265.5,22.9,8,10,2023-03-29T06:29:59,2023-03-29T19:01:31,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-03-30,13,8,9.6,13,2.9,6.9,6.8,83.9,0,0,0,,0,0,77.8,59.4,328.6,1007.7,64,7.5,211.9,18.4,8,10,2023-03-30T06:28:21,2023-03-30T19:02:33,0.28,Partially cloudy,Partly cloudy throughout the day.,wind,"37864099999,UBBB"
"Baku,Azerbaijan",2023-03-31,9,4,6.6,4.2,-2.1,1.3,2.9,77.6,6,100,4.17,rain,0,0,70.6,51.8,332.1,1015.9,86.8,10,184.3,16,8,10,2023-03-31T06:26:43,2023-03-31T19:03:35,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-01,7.8,4,5.8,4,-2.6,0.6,3.5,85.2,0.5,100,4.17,rain,0.1,0.2,76,50,319.8,1014.5,95.7,9.3,167.8,14.7,6,10,2023-04-01T06:25:06,2023-04-01T19:04:37,0.34,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-02,10,5,7.1,10,3.3,6.1,4.3,82.8,2,100,4.17,rain,0,0,24.5,14.8,263.1,1013.1,81.4,10,122,10.6,5,10,2023-04-02T06:23:28,2023-04-02T19:05:39,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-03,12,7.7,9.4,12,5.1,8.6,6.6,83.4,0.4,100,4.17,rain,0,0,54.7,25.5,332.8,1014,68.9,10,184.7,15.8,6,10,2023-04-03T06:21:51,2023-04-03T19:06:41,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-04,15,5.9,10.3,15,3.6,9.9,8.2,87.4,99,100,4.17,rain,0,0,27.7,22.3,155.9,1018.4,41.1,9.1,272.4,23.6,9,10,2023-04-04T06:20:14,2023-04-04T19:07:43,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-05,14.6,8.9,11.4,14.6,6.3,10.9,9.8,90.3,0,0,0,,0,0,41.8,37.1,158,1012.4,51.8,10,260.4,22.6,8,10,2023-04-05T06:18:38,2023-04-05T19:08:45,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-06,15,9,11.5,15,5.6,11.1,7.4,77.3,0,0,0,rain,0,0,49,44.6,330.9,1009.4,35.3,9.3,275.3,23.9,9,10,2023-04-06T06:17:02,2023-04-06T19:09:47,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-07,16,8.8,11.8,16,6.3,11.1,6.7,71.9,0,0,0,rain,0,0,40,29.5,321,1012.5,26.7,10,279.2,24.2,9,10,2023-04-07T06:15:26,2023-04-07T19:10:49,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-08,17.2,7,11.5,17.2,5.6,11.2,8.3,81.4,0,0,0,rain,0,0,40.7,27.2,357.1,1014.6,31.9,10,263.7,22.7,9,10,2023-04-08T06:13:51,2023-04-08T19:11:51,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-09,17,9.6,12.6,17,6.9,12.4,8,75,0,0,0,,0,0,49,37.1,319.2,1021.4,46.5,10,275.9,23.8,8,10,2023-04-09T06:12:16,2023-04-09T19:12:53,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-10,17,9,13.2,17,9,13.2,8.3,74,0,0,0,,0,0,30.6,27.5,174.6,1021.1,73.6,10,238.6,20.4,9,10,2023-04-10T06:10:41,2023-04-10T19:13:55,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-11,18,11.9,14.3,18,11.9,14.3,10.4,78.1,0,0,0,,0,0,43.2,33.5,163.3,1012.1,63.9,10,245.7,21.2,9,10,2023-04-11T06:09:08,2023-04-11T19:14:57,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-12,22,12,15.2,22,12,15.2,11.6,80.2,0,0,0,,0,0,45.7,29.5,160.1,1001.9,61.4,9.7,246.5,21.2,9,10,2023-04-12T06:07:34,2023-04-12T19:15:59,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-13,23,12,16.8,23,12,16.8,11.3,71.7,0,0,0,rain,0,0,60.8,33.5,191.5,999.4,60.1,10,188.6,16.2,8,10,2023-04-13T06:06:02,2023-04-13T19:17:01,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-14,24,11.6,15.9,24,11.6,15.9,8.4,62.8,0,0,0,,0,0,66.6,48.2,207.5,1008.9,51.7,10,288.5,25,9,10,2023-04-14T06:04:29,2023-04-14T19:18:03,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-15,20.1,10.5,14.7,20.1,10.5,14.7,6.6,61.2,0,0,0,,0,0,34.6,27.1,347.8,1015.8,21.3,10,294.8,25.6,9,10,2023-04-15T06:02:58,2023-04-15T19:19:05,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-16,11,7,8.7,11,2.4,5.1,4.3,73.7,0,0,0,rain,0,0,59.4,48.2,344,1025.3,85.2,10.6,144.5,12.5,5,10,2023-04-16T06:01:27,2023-04-16T19:20:07,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB,remote"
"Baku,Azerbaijan",2023-04-17,13,7,9.5,13,3.8,8.7,3.4,65.7,0,0,0,,0,0,27,25.9,116.1,1028.2,85.8,10,239.9,20.6,8,10,2023-04-17T05:59:57,2023-04-17T19:21:09,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-18,16,6,11.7,16,3,11.3,5.3,65.9,0,0,0,,0,0,38.9,37.1,153.8,1024.9,34.2,10,293.6,25.3,9,10,2023-04-18T05:58:28,2023-04-18T19:22:11,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-19,18,10.2,13.8,18,10.2,13.8,8.7,73.4,0,0,0,,0,0,44.6,37.1,157.5,1017.1,24.4,10,300.2,26,9,10,2023-04-19T05:56:59,2023-04-19T19:23:13,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-20,20.4,10,15.1,20.4,10,15.1,8.9,69.1,0,0,0,,0,0,45.7,41.7,160.7,1008.6,57.6,10,288.9,25,9,10,2023-04-20T05:55:31,2023-04-20T19:24:15,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-21,23,13,16.3,23,13,16.3,10.4,69.7,0,0,0,rain,0,0,55.1,33.5,292.9,1004.1,42.6,10,288.9,25,9,10,2023-04-21T05:54:04,2023-04-21T19:25:17,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-22,23.2,12,17.3,23.2,12,17.3,11.4,70.1,99.6,100,4.17,rain,0,0,33.8,23.6,127.1,1010.4,33.2,10,282.7,24.2,8,10,2023-04-22T05:52:38,2023-04-22T19:26:19,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-23,20,12,15.8,20,12,15.8,9.7,67.9,0,0,0,,0,0,37.8,18.4,342.7,1015,33.4,10,305.5,26.3,9,10,2023-04-23T05:51:13,2023-04-23T19:27:22,0.1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"37864099999,UBBB"
"Baku,Azerbaijan",2023-04-24,23.6,11.8,17.2,23.6,11.8,17.2,9.9,64.1,0,0,0,,0,0,35.6,25.9,218.3,1012,68.3,10,288.5,24.7,9,10,2023-04-24T05:49:49,2023-04-24T19:28:24,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
